Bondad;Tercera Caida;Amor y Humildad;Borriquita;Cena;Huerto;Pusillus Grex;Canita;Prendimiento;Consuelo;Estudiantes;Dolores;Cautivo;Esperanza;Silencio;Nazareno;Angustias;Vera-Cruz;Sed;Santo Entierro;Resucitado
36.775669425,-6.349370992;36.773890142,-6.369117116;36.767672222,-6.35553669;36.77398093,-6.35243964;36.8011985,-6.335609108;36.777573531,-6.34957672;36.777428589,-6.356593965;36.774817358,-6.354549206;36.769448905,-6.347917951;36.77742501,-6.356594681;36.78047894,-6.350605389;36.777879449,-6.353615757;36.778182612,-6.354042782;36.781845401,-6.348486921;36.781941519,-6.348713488;36.774822208,-6.354539961;36.777434028,-6.356586867;36.776171309,-6.353469301;36.777573563,-6.349576897;36.781931831,-6.348714123;36.781932966,-6.34871435
36.775655462,-6.349404578;36.773722865,-6.369153934;36.767750198,-6.355512637;36.774156133,-6.352600975;36.801289539,-6.336163082;36.777494242,-6.349715515;36.777111229,-6.357297362;36.77478782,-6.354647492;36.76940389,-6.348079201;36.777810254,-6.355764412;36.780420794,-6.350650573;36.777817826,-6.353952117;36.778219021,-6.353874804;36.781911906,-6.348542501;36.7818565,-6.348618678;36.77479126,-6.354666966;36.777118787,-6.357303152;36.776136745,-6.353451753;36.777504244,-6.34969926;36.781846902,-6.348626061;36.781853963,-6.348616565
36.775509556,-6.349313421;36.773608571,-6.369115161;36.767733882,-6.355447923;36.773920627,-6.353292232;36.80052517,-6.336356537;36.777365517,-6.349813221;36.776431173,-6.356786512;36.774435345,-6.354399069;36.769498533,-6.348134989;36.778163958,-6.355995385;36.780282208,-6.350670761;36.777770243,-6.35411883;36.778622206,-6.353952946;36.782045543,-6.34833901;36.781710119,-6.348811727;36.774415971,-6.354397122;36.776420514,-6.35679335;36.77609797,-6.353520264;36.777451272,-6.349750583;36.782044665,-6.348341122;36.781712371,-6.348809534
36.77525873,-6.348965353;36.773505843,-6.369026871;36.768660653,-6.355150073;36.773753482,-6.353889767;36.800079276,-6.336468497;36.777275243,-6.349866617;36.7761287,-6.356576062;36.774557595,-6.353869223;36.769593852,-6.347820006;36.778296971,-6.356079502;36.780234479,-6.350671797;36.777571427,-6.354756847;36.778776018,-6.35406653;36.782538965,-6.347701759;36.781584381,-6.348943723;36.774109051,-6.35416493;36.776120664,-6.356569614;36.775924502,-6.35343905;36.77735579,-6.349818149;36.782874009,-6.347271387;36.781882134,-6.348991575
36.775419487,-6.348717456;36.773212126,-6.369519294;36.769924077,-6.354708556;36.774117993,-6.354164855;36.799353078,-6.336702516;36.777213161,-6.349881482;36.775819293,-6.356240991;36.774737763,-6.353097386;36.769892419,-6.346998951;36.778469517,-6.356194953;36.780529409,-6.350298286;36.777517221,-6.354760534;36.778840548,-6.354038655;36.78287058,-6.347276454;36.7811075,-6.349553136;36.773746361,-6.353884204;36.775813365,-6.356237239;36.775850001,-6.353400895;36.777280614,-6.349860772;36.783182274,-6.347575325;36.781772189,-6.349144532
36.775102494,-6.348292569;36.773138437,-6.369705723;36.770083768,-6.355103866;36.774276846,-6.353516657;36.798774432,-6.336862599;36.777195473,-6.349980606;36.775529824,-6.355936183;36.774469584,-6.352863263;36.77003112,-6.347057899;36.778291053,-6.3564324;36.781100619,-6.349562548;36.777465022,-6.354777765;36.77890922,-6.354060348;36.783190498,-6.346844858;36.780596782,-6.349177325;36.773986591,-6.353040251;36.775530765,-6.355936612;36.775505099,-6.353237906;36.777207817,-6.349879104;36.782943098,-6.347940803;36.781593358,-6.348927431
36.774290012,-6.347233328;36.773067563,-6.369960709;36.77091931,-6.354839056;36.774439449,-6.352866502;36.798009829,-6.337063217;36.776879493,-6.349897947;36.775311415,-6.35572938;36.774895595,-6.35225353;36.770158965,-6.347108444;36.778135881,-6.356637462;36.78069467,-6.349251019;36.777420243,-6.354828989;36.778978844,-6.354098704;36.783732588,-6.346090091;36.780486405,-6.349072964;36.77415573,-6.352593493;36.775302428,-6.355724393;36.775440845,-6.353476584;36.777192235,-6.349974384;36.782744864,-6.348222287;36.781113275,-6.349563695
36.773823938,-6.347770518;36.772715618,-6.369830195;36.771557826,-6.354614932;36.774893593,-6.352260683;36.797328539,-6.337234757;36.776566271,-6.349803134;36.775068341,-6.355528835;36.775113891,-6.352108988;36.770431727,-6.347399508;36.777770646,-6.357167689;36.7805271,-6.349113051;36.777144306,-6.355393137;36.77906066,-6.354168369;36.784356557,-6.345242284;36.780428503,-6.349006162;36.774459257,-6.352872175;36.775075915,-6.355550619;36.775218422,-6.353450753;36.776566464,-6.349807732;36.782650566,-6.348357182;36.780842398,-6.349909589
36.773346677,-6.348337015;36.772277395,-6.369665216;36.771642271,-6.354504874;36.775118654,-6.352106606;36.797045803,-6.337306392;36.776550882,-6.349217328;36.774646071,-6.355313381;36.775306548,-6.351869252;36.77093701,-6.347919144;36.777489532,-6.357597951;36.78044499,-6.348995541;36.776845801,-6.356004451;36.779099638,-6.35422073;36.78483871,-6.344548709;36.780186618,-6.34935294;36.774899886,-6.35225985;36.774835181,-6.355402859;36.775157118,-6.353427484;36.776547703,-6.350488388;36.78239697,-6.348681918;36.780535971,-6.350301089
36.773174107,-6.348551146;36.771859576,-6.369510986;36.771659365,-6.354372512;36.775304409,-6.351872664;36.796851425,-6.337312629;36.776188129,-6.349083532;36.774845531,-6.354721893;36.775431039,-6.352013892;36.771446618,-6.348488736;36.777375194,-6.357514609;36.780216242,-6.349318033;36.776661168,-6.356353811;36.779120316,-6.35427007;36.784970894,-6.344353236;36.77974621,-6.350047869;36.775119104,-6.352107805;36.774641124,-6.355317877;36.775067346,-6.353361522;36.776535369,-6.350740965;36.782222106,-6.348521575;36.780234114,-6.350679831
